Case Number,Status,Age (Days),Description,Summary,Distinct Capabilities Matched,Fit,Urgency,Priority
00005778,Closed,70,"Jess and her team are in the early ideation phase of defining success metrics for data products across <CLIENT>?s enterprise data group. While there is strong alignment among Jess and her peers on the importance of developing a shared baseline set of metrics, the team is still exploring what should be considered and how best to frame these measurements. Jess is looking for benchmarking insights into how other organizations are approaching data product success metrics, including what common KPIs are being used, and how they are applied consistently across diverse data products. As potential support, Jess is interested in a fireside chat session with an expert to help align internal stakeholders, discuss considerations in real time, and streamline decision-making. Jess would like to review expert bios during her next scheduled check-in on October 14, with the goal of moving this process forward shortly thereafter. Jess provided prep call availability on 10-21. Refer to notes for times. Updated Ask as of 10-22: Jess and her team are in the early ideation phase of defining success metrics for data products for Jess?s Customer Data & Insights Data Family with the goal to use this proposal as the lead proposal for all data products across <CLIENT>. While there is strong alignment among Jess and her peers on the importance of developing a shared baseline set of metrics, the team is still exploring what should be considered and how best to frame these measurements. Jess is looking for benchmarking insights into how other organizations are approaching data product success metrics, including what common KPIs are being used, and how they are applied consistently across diverse data products. As potential support, Jess is interested in a fireside chat session with an expert to help align on her data product family?s proposal, discuss considerations in real time, and streamline decision-making.",No description provided.,N/A,1,1,1
00005872,Closed,70,"<CLIENT>ron is leading an effort to establish a clear, organization-wide approach to data products within a large insurance and financial services environment where data is the core asset. A primary challenge is the lack of a shared definition of what a ?data product? means internally- including how data products should be designed, what components they include, and how they are built and governed. In parallel, <CLIENT>ron?s team is working to define modern data roles and responsibilities that will support data products and broader data management and analytics efforts. This work is highly sensitive, as it involves clarifying ownership, accountability, and expectations across an organization where ?everyone is a data person,? a model that is no longer sustainable. <CLIENT>ron is seeking external perspectives to validate and inform this work before it is formally socialized and reviewed by HR. Specifically, he is interested in insights on modern data profession operating models, emerging data roles and titles, and effective interaction patterns between business and IT teams for delivering and maintaining data products.",No description provided.,N/A,1,1,1
00005373,Closed,22,"<CLIENT> is interested in laying the groundwork for a formal data quality initiative, even while broader strategic efforts are on hold. She is seeking guidance on how to begin with foundational steps, identify key impact areas, and shape a realistic, actionable path forward. <CLIENT> feels that this conversation could mirror some of her previous expert consultations, but she is interested in having a refresher as well as hearing a fresh perspective that she can apply to the state of <CLIENT> and her role today.",No description provided.,N/A,1,1,1
00005456,Closed,119,Jeff is starting to make traction with moving forward on the data quality piece- focusing around how you balance and create the business having enough skin in the game and balancing that with the tech side. He is interested in looking at this through a ways of working model between business and technology in terms of data governance and that balance. Jeff is also interested in connecting with David Plotkin on the data stewardship piece. ________________________________ Update as of May 13th: Data Quality / Stewardship Conversations Jeff remains interested in a session with David Plotkin on data quality and stewardship best practices. Target timeframe: Same week as Terry (May 28?30) or first week of June. Deliver a value-added expert discussion around stewardship frameworks and quality management. Propose and schedule session with David Plotkin for May 28?30 or early June. Suggest a specific slot and send a calendar invite.,No description provided.,N/A,1,1,1
00005598,Closed,15,Can you help me set up a call with a data quality specialist. I?m looking to connect with someone who has experience running the data quality efforts of a centralized data warehouse.,No description provided.,N/A,1,1,1
00005567,Closed,18,"Jared is seeking support for data quality and observability, with a focus on addressing current gaps in their systems. While <CLIENT> currently uses Great Expectations (open-source), Jared is concerned it isn?t sufficient for enterprise-level needs and is looking for a more comprehensive, long-term strategy. Pain points include missing sales data, lack of confidence in existing systems, and reliance on tribal knowledge for detecting issues. Jared is focused on implementing end-to-end data validation, from source to report, with a user-friendly format for non-technical data stewards. <CLIENT> is currently using Collibra (catalog only) and exploring Collibra?s DQ/Observability module, with strong interest in Monte Carlo and some interest in Bigeye. This effort aligns with <CLIENT>?s ""Trustworthy"" governance principle, as they work to improve operational-level observability and implement a grading framework for datasets.",No description provided.,N/A,1,1,1
00005418,Closed,63,"<CLIENT>?s team is prioritizing data security and analytics, and they are in the process of formalizing their approach to managing data security, privacy, and analytics within their organization. He?s seeking insights into how other organizations handle similar challenges, particularly regarding the intersection of data security and customer experience. <CLIENT> is keen on learning about the challenges others have faced when implementing security measures for data and analytics, as well as exploring best practices for maintaining secure yet accessible data solutions. This is a high-priority initiative for <CLIENT> as they work through their existing projects and plan future efforts.",No description provided.,N/A,1,1,1
00005728,Closed,29,The topic of data sharing for research (and possibly QI) between medical schools and academic medical centers has come up a fair amount recently and our senior leaders from both Dartmouth College and Dartmouth Health are very interested in resolving the issues of data sharing between entities for this purpose. Does the IIA have any broad information on how academic medical centers are typically structured legally in order to make data sharing easier or do you have any clients that have gone through this process in the past that might be able to share insights with us? Thanks.,No description provided.,N/A,1,1,1
00005416,Closed,0,Sample inquiry on data strategy,No description provided.,N/A,1,1,1
00005496,Closed,73,"Curt wants to create an enterprise-wide data strategy, specifically not just for problem-specific solutions. Curt feels that this is an area where most businesses fall short on what it means to actually create a good data strategy. He is hoping to gain insights on how to actually measure the success of a data strategy as well as w<CLIENT>ing how to deliver a strategy that also delivers value. He would like to know what the values are that he should be measuring and how do they change the way that they play the game by implementing a successful data strategy? He is interested in best practices for gaining organizational buy-in and changing behaviors and guidance on how to build a data strategy from scratch. Curt is working on some key data literacy initiatives and I also believe that a conversation with Keyur on this topic would b e very helpful for him Essentially, they are focusing on their data strategy and need help with addressing the ""how."" They are looking at their data strategy through a holistic lens, focusing on the data and eliminating tech debt. Their goal is to have a clear and defined data strategy so that when they are implementing things such as AI initiatives, they have AI-ready data. They are primarily looking at this challenge through the perspective of data, but there is also a cultural component as they are hoping to create a strategy that embodies the ongoing data journey and is a strategy that they can sustain over time. Curt would like to bring Jacey and Nate into this conversation",No description provided.,N/A,1,1,1
00005688,Closed,2,"Email from Nick: Hi Kendall! Happy new year and I hope you enjoyed the end of the year. Could you provide me with resources around Data Strategy, Data Platform and Product Management, and Data Org Processes/Operating Models? Anything to help get me up to speed in this space (can even start with the basics).",No description provided.,N/A,1,1,1
00005573,Closed,62,"Elizabeth Stedina, VP of Data & Analytics, is seeking expert feedback on a draft data strategy she is currently developing. The strategy includes a data governance framework that incorporates insights gathered from internal collaboration, expert discussions, and resources like the Data Governance Playbook. Elizabeth is looking for a knowledgeable second set of eyes to validate and refine the strategy before presenting it to internal sponsors. The objective is to ensure alignment with best practices, completeness, and clarity, particularly in how data governance is integrated into the broader strategy. Support Requested: Expert review of the draft strategy Strategic feedback on governance structure Guidance on effectively presenting the strategy to executive sponsors Elizabeth's availability: Monday, April 21st: 1 pm EST Tuesday, April 22nd: 9 am EST Wednesday, April 23rd: 1 pm EST Thursday, April 24th: 2 pm EST Friday, April 25th: 9-11:30 am EST",No description provided.,N/A,1,1,1
00005660,Closed,10,"Email from Elizabeth: Hi Olivia, Enclosed is our draft data strategy for Dartmouth Health. I was w<CLIENT>ing if David Plotkin or Brigitte Workman would be willing to review it and provide some feedback? Thank you! Elizabeth",No description provided.,N/A,1,1,1
00005472,Expired,158,"Kevin is w<CLIENT>ing how to best engage with data teams as they are looking at initiatives and options of self-service. Kevin would like to learn some best practices of how to manage this and would like to connect with an expert to discuss model supportability, communication, and engagement strategies.",No description provided.,N/A,1,1,1
00005720,Expired,140,"Paddu is looking for strategies to optimize and validate the cost of Databricks within <CLIENT>?s data infrastructure. While their team has successfully renewed the Databricks contract and recognizes the platform?s value, executive leadership continues to view it as a high-cost investment. Paddu is seeking peer insights and potential case studies that highlight how other organizations have approached cost optimization. Either through architectural decisions, platform usage adjustments, or strategic augmentation with open-source tools. Additionally, he is interested in understanding how other data leaders have framed and communicated the long-term value of Databricks to internal stakeholders. Support in both cost-containment strategies and executive storytelling would be highly valuable to him at this stage.",No description provided.,N/A,1,1,1
00005596,Closed,125,"<MD> is focused on scaling <CLIENT>?s internal data capabilities by automating existing manual DataOps processes through AI and advanced tooling. Over the past four years, <CLIENT> has invested heavily in its data platform, and <MD> is now looking to elevate its maturity by introducing a virtual DataOps AI agent. This early-stage, personal initiative is designed to act as a digital teammate?detecting issues, triggering workflows (e.g., opening Remedy tickets), and integrating across tools. The long-term vision is to create a hybrid workforce combining human expertise with AI-driven automation to reduce repetitive tasks and boost operational efficiency. Key challenges include ensuring privacy and compliance in line with HIP<CLIENT> regulations, and aligning AI solutions with <CLIENT>?s existing Snowflake-centric tech stack. <MD> is particularly interested in how to build and scale these intelligent agents natively within Snowflake, and is seeking best practices from industry peers to maintain both agility and security. Additional context: I would like to talk about the experiences companies have to work with multiple agents. What should be the agentic workflow management. What pieces do we need to think as a part of our strategy. I would like Mark to be the part of this meeting as well.",No description provided.,N/A,1,1,1
00005796,Expired,105,"<CLIENT> currently operates a substantial ETL ecosystem with approximately 80,000 active jobs running in IBM DataStage. The organization is looking to migrate off of DataStage and explore modern alternatives, though this effort is currently being handled discreetly to avoid signaling intent to IBM. Subash is seeking guidance on viable replacement technologies, as well as real-world case studies from other organizations that have successfully navigated similar migrations. He is particularly interested in understanding the technology choices, migration approaches, and lessons learned from these transitions, in order to inform <CLIENT>'s own strategy. This is a high-impact initiative tied closely to their broader data platform modernization efforts.",No description provided.,N/A,1,1,1
00005703,Closed,9,"Victoria is currently leading a strategic shift in how her team delivers analytics solutions, with a strong emphasis on streamlining intake, improving speed to delivery, and driving accountability. Having recently completed an internal alignment effort, the team is evolving toward a model that brings in SMEs and analytics managers earlier in the process to ensure more effective and relevant solutioning. Now, Victoria is focused on embedding KPIs and SLAs to track performance and enforce clear delivery expectations?but needs support in identifying meaningful, realistic metrics that align with the new model. A key challenge is that while Victoria has a strong sense of what she wants to measure, the data needed to support those KPIs is not easily accessible due to how things are currently structured. She is looking for an expert who can help her validate the KPIs and SLAs she's proposed, assess whether the expectations are realistic, and recommend practical workarounds for data sourcing limitations. The goal is to strengthen the credibility and adoption of the new model while giving stakeholders visibility into performance and impact.",No description provided.,N/A,1,1,1
00005622,Closed,17,"The design for AI group is in the early stages of designing AI-compatible business processes and is seeking support in developing two key assets: an AI Readiness Checklist to evaluate existing and new processes, and an AI Implementation Playbook to guide adoption across both greenfield and legacy systems. The initiative kicks off with internal discovery meetings in early May, followed by development of the checklist starting mid-May, and culminating in a final presentation in early September. The client is currently focused on identifying AI opportunities within existing workflows and is looking for expert consultation to guide the creation of a customized AI readiness checklist. They are seeking to connect with an advisor experienced in enterprise AI enablement and process redesign.",No description provided.,N/A,1,1,1
00005369,Closed,30,"The team is exploring strategies to embed data design into digital product development to ensure proper data capture, maintenance, and availability for analytics and insights. They seek best practices from organizations that prioritize data considerations alongside user-facing functionality, even under tight deadlines. Insights into practical frameworks and tools for integrating data design into product workflows are key to improving analytics readiness and decision-making capabilities. Update as of 1-22 We are looking to understand what sort of practices and processes companies have in place that are successful at leveraging design for data. We are specifically looking to better understand how companies are successful at integrating processes into the software development process so the right data is captured, persisted, and made available to <CLIENT>nstream data users to meet that product's customer needs as well as data used to benefit other product customer needs.",No description provided.,N/A,1,1,1
00005497,Closed,14,"Elizabeth has no formal training or background in data governance and her group is tasked with developing the strategy for <CLIENT>. She was hoping an expert can walk through her deck that explains where they're wanting to go and how they think they can get there. I recommended David Plotkin and she is excited to meet him. She is available the week of <MD>h 3rd: Wednesday afternoon, Thursday afternoon, and Friday all day.",No description provided.,N/A,1,1,1
00005726,Expired,136,"Ryan is prioritizing a Development Quality initiative to ensure his team has a clearly defined and effective strategy heading into 2026. While a peer review process was implemented in the past year, Ryan believes the current process is immature, inconsistent, and lacks measurable impact. Drawing on his past experience with structured code reviews in software engineering environments, he is motivated to formalize and mature his team's peer review framework for business insights and analytics work. Specifically, Ryan is seeking support to define what a mature development quality process looks like within a data analytics context. Key questions he hopes to address include: Who should be conducting reviews? What should the checklist entail? What is the ideal structure and cadence? How should review outcomes be tracked, and how can they measure whether the process is truly adding value? His ultimate goal is to implement a repeatable, value-driven, and accountable peer review process that improves insight quality, builds trust with stakeholders, and supports analyst development.",No description provided.,N/A,1,1,1
00005780,Closed,24,"Of course, just after we meet, I come up with a question you might be able to help with! As I mentioned yesterday, we have made great progress in the data governance space, including getting approval for our formal data governance structure and standing up our data governance steering committee and several stewardship teams. We are now thinking about what roles we need in the data governance program office and I have a physician informaticist who has helped to stand this structure up and I am looking for a more formal role for him and w<CLIENT>ing what physician or leadership roles exist at other organizations (titles/job descriptions). Is this something you might be able to help with? Thanks!",No description provided.,N/A,1,1,1
00005757,Closed,154,"<MD> requested support in developing a cost-effective Disaster Recovery (DR) strategy. He is particularly interested in: Understanding best practices in DR implementation. Potential guidance or frameworks (e.g., slide decks) he can present to his leadership to show strategic planning and cost-conscious decision-making. - Ideally he would love any content we can share with him on this topic",No description provided.,N/A,1,1,1
00005700,Closed,11,"Andy is leading AI business transformation efforts, with a focus on two key priorities: accelerating the integration of AI solutions into digital products for dealers and customers, and enabling AI-driven transformation internally across 2,700 salaried employees. His team is actively building generative AI use cases in partnership with internal business units to improve efficiency and reimagine future workflows. They aim to have over ten GenAI solutions in production by the end of the fiscal year, several of which will be dealer-facing. Internally, Andy's team is focused on increasing hands-on adoption of citizen development tools such as Microsoft Copilot Studio, Power Platform, and Agent Builder. Rather than working on governance, his group is more business-oriented, focused on experimentation, enablement, and showing what?s possible. Andy is seeking external perspectives to better understand how other organizations are identifying business-ready AI use cases, setting up centers of excellence, and building people strategies to manage evolving roles. He?s particularly interested in peer insights that can help inform leadership?s 2026?2027 planning. Additional context from Andy: I was thinking more about what I was looking for with the question I asked below. If there are other companies in your network that have already been through significant AI transformation for their internal employees, I would be interested in connecting with them. I am looking to highlight an industry example in a presentation to A&CS leadership team where I can show them what is to come in the AI space and to prepare them for it (build a strategy with them). Let me know if you have further questions.",No description provided.,N/A,1,1,1
00005661,Closed,160,"<CLIENT> has rolled out Revenue Growth Management (RGM) analytics globally, but is now focused on driving adoption and integration within commercial teams, where change resistance, capability gaps, and inconsistent alignment pose challenges. Rupam is seeking expert insights on how other organizations have successfully embedded RGM or similar commercial analytics into frontline decision-making. Key interests include best practices for change management, tailoring value stories for different audiences, enabling internal champions, and sustaining momentum post-launch. The goal is to learn from real-world examples to guide <CLIENT>?s next 6?12 months of RGM enablement efforts.",No description provided.,N/A,1,1,1
00005687,Expired,27,"Jeff is seeking innovative self-serve support solutions to improve operational efficiency and decision-making. While he has a strong grasp on what the right approach looks like, he values connecting with experts or peers who have successfully implemented breakthroughs in self-service analytics and data discovery. Jeff is open to exploring new ideas that can help <CLIENT> advance its analytics maturity. His curiosity is fueled by ongoing conversations with industry leaders and a desire to solve complex self-serve problems that few have tackled before.",No description provided.,N/A,1,1,1
00005813,Closed,18,"Kurt is exploring ways to enhance his organization's forecasting capabilities by building a specialized team. The primary goal is to establish a dedicated team focused on forecasting, potentially led by a principal data scientist. This individual would play a crucial role in overseeing high-level technical integrations and collaborating across functions. Kurt is currently crafting the job description for this role in collaboration with his colleagues, and while it is still in the early stages, he envisions the principal data scientist as someone who can not only advise but also take ownership of strategic outcomes and integrations. Additionally, he?s contemplating the restructuring of his current team, considering how to allocate data scientists and engineers between this new forecasting team and other projects. Kurt has an interest in finding a balance between having enough engineers to support the forecasting initiative without neglecting the rest of the organization?s needs. Kurt is also considering how this new role could facilitate better collaboration with other teams, particularly with the supply chain group, where inefficiencies are currently hindering optimal outcomes. He?s exploring the possibility of a liaison role to bridge the gap between teams. However, the central focus is on defining the principal data scientist role and ensuring it fits strategically into the broader goals of the organization.",No description provided.,N/A,1,1,1
00005706,Closed,35,"<CLIENT> is in the foundational stages of standing up a formal Master Data Management capability, with her IT team actively exploring and evaluating MDM vendors for the first time. In parallel, she?s preparing to bring a dedicated data governance professional into the organization, which will be a critical piece in shaping how enterprise data is managed, stewarded, and integrated across teams. She?s seeking expert guidance to better understand how a new data governance function should engage with MDM and the broader enterprise data ecosystem, particularly as those functions begin to intersect and take shape simultaneously. <CLIENT> is looking for support that can help her think through the right structure, roles, and touchpoints between governance and IT, especially as her team defines standards and operationalizes. She is also interested in best practices for how to embed governance into the early stages of MDM implementation to ensure long-term scalability and adoption. Given the complexity of coordinating across business, IT, and analytics teams. <CLIENT>s availability: The morning of the 29th or 30th (<CLIENT> is CST)",No description provided.,N/A,1,1,1
00005444,Expired,303,He is going to be running point for a big group consultants that are driving a project with c-suite visibility. He needs to be responsible for setting the strategic direction and the progression. What are some models for effectively engaging consultants? What should he be thinking of? What are the tings that he should be doing to ensure a successful effort? This consulting project kicks off next week with high level leadership. They won't be going through the motions of daily standups until end of February.,No description provided.,N/A,1,1,1
00005448,Expired,303,"There isn't a standard process for doing this. They have typical platforms that every team uses, common processes, and even common start dates....there's a good opportunity to develop a standardized onboarding process. Multiple years into a rotation, people aren't ready for their roles because they're still being onboarded.",No description provided.,N/A,1,1,1
00005436,Closed,29,"She has a new manager since mid-November on the governance piece. She wants specifically to have somewhat of a script in place of how they're handling work for data governance. They are looking at existing ones from overseas/globally. They don't have enough documentation to match the global team. THeir reach is largers than Canada's. Creating their standards and processes for the local market. Documenting their differences and having them in a presentable fashion. Victoria is focused on improving the efficiency of data governance as the company scales, particularly in the context of managing access to different datasets across departments. She discussed the challenge of creating and maintaining audience groups to ensure appropriate data access based on privacy and role-specific requirements, while managing the growing complexity of departments like marketing, medical, and patient services.",No description provided.,N/A,1,1,1
00005859,Closed,3,"<CLIENT> would like experience-based guidance on how to successfully build and sustain self-service analytics across <CLIENT> as the organization shifts away from a heavily centralized, command-and-control analytics model. With his new role overseeing the Enterprise Data Analytics Modernization program, he?s trying to understand how other companies effectively enable broad analytics communities, govern decentralized work, and manage varying skill levels across business teams. He?s specifically interested in operating models, governance strategies, and real mechanisms for enablement, such as what stakeholder cadences look like, who should be in the room, and how to set expectations and communications around the analytics journey. <CLIENT> would ideally like proven examples from organizations that have successfully executed self-service initiatives. He?s looking for insight into the practical ?how,? including structures, roles, practices, and real-world lessons learned to help <CLIENT> build a scalable, consistent, and well-governed analytics ecosystem as demand grows across the enterprise.",No description provided.,N/A,1,1,1
00005633,Closed,0,Ali is really curious about what kinds of questions pharma companies have been asking.,No description provided.,N/A,1,1,1
00005701,Closed,151,"As McDonald?s continues its data transformation journey, a critical need has emerged to enhance the communication and storytelling skills of its data science team. Recognizing that technical expertise alone is insufficient for driving impact, the team is seeking to build confidence in presenting complex data insights in ways that resonate with business stakeholders. To address this, McDonald?s is hoping to plan a fireside chat session with Kathleen Maley. This interactive session will provide a safe space for data scientists to explore how to overcome hesitation, ask brave questions, and effectively share their insights, fostering a culture of open dialogue and greater influence within the organization. This goal is to empower McDonald?s data scientists with the soft skills necessary to elevate their impact, align more closely with strategic goals, and support the company?s broader onshore-offshore model by enhancing collaboration and storytelling capabilities. Kurt's availability: Back August 25th from 3 weeks off Could try to meet that week. Derek could stand in as needed Friday august 29th: 8:30-9:30, 10:30 on CST, ideally not after 3 ct August 26: 9:30-11 CST August 27: anytime 9-12 CST Update as of 9-2: As part of McDonald?s ongoing data transformation journey, the organization recognizes that technical expertise alone isn?t enough to drive meaningful business impact. There?s a clear opportunity to strengthen the communication, storytelling, and business alignment skills of the data science team. The team is looking for support to build confidence in presenting complex insights in ways that connect with business stakeholders. This will help data scientists have greater influence, drive deeper engagement, and ensure their work is more closely aligned with strategic goals. More broadly, the goal is to help the team better understand business context, tailor solutions to business needs, and foster open, collaborative dialogue across both onshore and offshore teams. By developing these soft skills, McDonald?s aims to empower its data scientists to deliver more impactful, relevant, and collaborative outcomes across the organization.",No description provided.,N/A,1,1,1
00005860,Closed,8,"As McDonald?s continues its data transformation journey, a critical need has emerged to enhance the communication and storytelling skills of its data science team. Recognizing that technical expertise alone is insufficient for driving impact, the team is seeking to build confidence in presenting complex data insights in ways that resonate with business stakeholders. To address this, McDonald?s is hoping to plan a fireside chat session with Kathleen Maley. This interactive session will provide a safe space for data scientists to explore how to overcome hesitation, ask brave questions, and effectively share their insights, fostering a culture of open dialogue and greater influence within the organization. This goal is to empower McDonald?s data scientists with the soft skills necessary to elevate their impact, align more closely with strategic goals, and support the company?s broader onshore-offshore model by enhancing collaboration and storytelling capabilities. Kurt's availability: Back August 25th from 3 weeks off Could try to meet that week. Derek could stand in as needed Friday august 29th: 8:30-9:30, 10:30 on CST, ideally not after 3 ct August 26: 9:30-11 CST August 27: anytime 9-12 CST Update as of 9-2: As part of McDonald?s ongoing data transformation journey, the organization recognizes that technical expertise alone isn?t enough to drive meaningful business impact. There?s a clear opportunity to strengthen the communication, storytelling, and business alignment skills of the data science team. The team is looking for support to build confidence in presenting complex insights in ways that connect with business stakeholders. This will help data scientists have greater influence, drive deeper engagement, and ensure their work is more closely aligned with strategic goals. More broadly, the goal is to help the team better understand business context, tailor solutions to business needs, and foster open, collaborative dialogue across both onshore and offshore teams. By developing these soft skills, McDonald?s aims to empower its data scientists to deliver more impactful, relevant, and collaborative outcomes across the organization.",No description provided.,N/A,1,1,1
00005465,Closed,49,"Courtney is seeking to move HR data governance away from a reactive, audit-driven approach toward a more proactive and collaborative model. The HR operations IT group has traditionally been passive, with much of the work offshored in 2018, leading to challenges in data governance. Although Courtney has made progress by establishing shared responsibility and gaining traction with the rebranded ""data excellence"" initiative, the approach remains fragmented. She aims to break through the semantic barriers, shifting from merely guidelines and guardrails to a more enabling framework. Courtney wants to position HR data governance as a critical partner to the business, rather than an afterthought, and is focused on building bridges to foster better collaboration and alignment across teams.",No description provided.,N/A,1,1,1
00005699,Expired,87,"Tamra is working on an initiative focused on establishing a safe and scalable approach to AI self-service within her organization. A key part of this effort involves launching a pilot program in which a select group of ""super users"" will be granted their own AWS developer accounts. This group will help test and shape the early user experience of AI and agentic tools, serving as a proving ground for broader adoption. Tamra and her team view this pilot as a foundational step in understanding the practical and governance-related requirements for rolling out AI capabilities more widely. To support this work, Tamra is seeking guidance in several areas: making strategic decisions around building vs. buying AI solutions, implementing tokenization for secure data handling, and defining data governance practices, particularly as they relate to onboarding agentic technologies. She is also looking for vendor tool recommendations and best practices to ensure that AI self-service development is done securely and responsibly from the outset.",No description provided.,N/A,1,1,1
00005640,Closed,38,"<CLIENT> is seeking support in developing a more efficient and scalable approach to AI and advanced analytics ideation within the business. While past workshops and boot camps have generated strong ideas, they?ve proven too resource-intensive to sustain. She?s looking for a repeatable, lower-lift method to help business stakeholders imagine impactful use cases?especially from a lens of ?what?s possible? with AI?without overwhelming them or triggering resistance. A key priority is creating a process that balances inspiration with accessibility, encouraging curiosity while being mindful of change management dynamics. Ideally, she?s looking for external facilitation from someone who understands manufacturing or B2B environments and can bring fresh perspectives to the table. With a six-month project review on the horizon in June, <CLIENT> sees this as a strategic opportunity to introduce or preview this new ideation approach.",No description provided.,N/A,1,1,1
00005735,Closed,26,"Matt is exploring a shift from isolated AI use cases toward a more holistic, end-to-end process transformation within <CLIENT>?s Finance organization. He?s looking for guidance on how to apply AI across full workflows, starting with areas like Accounts Payable, rather than micro-optimizing through one off automation efforts. They have already identified over 300 potential use cases, but Matt thinks meaningful value could come from rethinking entire processes through the lens of AI. Matt is hoping for validation of this approach, along with input on how to structure a cross-functional team that includes software engineering, data science, data engineering, and subject matter expertise. He is also looking for support on how to pilot this model in a low-disruption way and align it with internal governance needs, particularly around the use of agentic AI. He may also be interested in bringing <CLIENT>?s senior finance leadership into the conversation, as he feels that third-party insight and credibility could be helpful in aligning internal priorities and securing buy-in at the executive level.",No description provided.,N/A,1,1,1
00005464,Closed,55,Matt would like to connect with Mark Molau for a Fireside chat with his leadership team on engagement models,No description provided.,N/A,1,1,1
00005572,Closed,42,"The Analytics AI Preparedness ALGs Team at <CLIENT> is in the early exploratory phase (""storming phase"") of a strategic initiative aimed at bridging communication gaps between analytics teams and business units?particularly as analytics solutions become more complex with the rise of technologies like Generative AI. Their goal is to develop strategic processes and frameworks that ensure alignment between business needs and the appropriate technical analytics resources, helping to prioritize efforts that deliver the greatest value while minimizing execution risk. The team is seeking an introductory conversation with an expert to help them gather requirements and receive early feedback on their project direction. They are especially interested in insights related to effective frameworks for scoping analytics projects, aligning cross-functional teams, and enhancing collaboration and visibility across analytics initiatives. The team is also exploring deliverables such as an analytics scoping document, methods for balancing value vs. risk, and recommendations for ideal team structures.",No description provided.,N/A,1,1,1
00005604,Expired,91,"Tim is seeking guidance on conducting more effective concept reviews with internal teams and external stakeholders (such as dealers) as part of a new metrics initiative. He?s currently in the early phases of project definition and stakeholder alignment and would benefit from Bill?s expertise in customer insights and best practices for scoping and validating analytics concepts with end users. Objective: Help Tim refine the structure and content of concept reviews to ensure the new metric is relevant, intuitive, and actionable for dealer audiences.",No description provided.,N/A,1,1,1
00005595,Closed,51,"Michael is prioritizing improvements in data storytelling and visualization, with a specific focus on making risk metrics more engaging, clear, and visually polished. He feels that the current dashboards effectively support meetings but fall short when used as standalone tools?they lack clarity and aesthetic appeal. He?s seeking guidance on current best practices in data visualization and is interested in understanding which visual formats resonate most with stakeholders today. This includes exploring the effectiveness of various options such as infographics, dashboards, single-pagers, and traditional charts (e.g., bar charts). He recognizes that stakeholder preferences have evolved significantly over the past 5?10 years and wants to ensure his team?s visual communication strategies align with modern expectations.",No description provided.,N/A,1,1,1
00005564,Closed,62,"<CLIENT> is working on a broad data transformation project that includes a focus on people, processes, and technology. They have established a framework for demonstrating the value of analytics but are now seeking guidance on how to track and measure the ""value"" of their broader data transformation efforts. Specifically, they want to understand how other organizations have built frameworks for data governance, stewardship, and aligning ownership between business and IT at a global level. Their goal is to build trust in data, improve scalability, and create a more data-driven decision-making culture. Key challenges include translating their mission into clear business value, establishing a consistent intake and prioritization process, and tracking metrics that show how data use is driving tangible business outcomes. They are looking for insights into best practices for managing data across people, process, and technology, and for ways to prove and communicate the value of data transformation to leadership.",No description provided.,N/A,1,1,1
00005617,Closed,14,"Interested in how companies define and communicate enterprise data products across diverse business units. Concerned about duplication of efforts in data product creation as technology democratizes data access. Wants insights on governance and best practices to maintain consistency in data product creation across teams (e.g., engineering, marketing, manufacturing, finance, customer support, etc.). - Is this still relevant- do we need to revisit, or is this expired?",No description provided.,N/A,1,1,1
00005621,Closed,42,"Soyal is navigating a complex Epic-to-AWS cloud migration at <CLIENT>, which recently experienced a 10-hour outage during the transition?raising executive-level concern. While Epic is now live on AWS, ongoing challenges persist, particularly around backend data consistency and analytics, as the organization shifts from Oracle to SQL Server due to vendor conflicts. This has directly impacted 132 critical dashboards used daily by leadership, making data integrity and business continuity a top priority. Soyal is seeking a consultative partner with hands-on experience in Epic migrations?particularly those involving Oracle-to-SQL transitions?who can offer strategic guidance beyond tactical execution. He?s looking for support in framing technical risk in a way that is digestible for non-technical stakeholders, such as the CEO and president, while ensuring continuity and confidence at the executive level. He values thought leadership and strategic communication support to bridge the gap between technical complexity and high-level business impact.",No description provided.,N/A,1,1,1
00005503,Expired,289,"The goal is to build internal engineering capabilities for model deployment, strengthening collaboration between scientists and engineers. Team Structure Evaluation: There is consideration of whether engineers should be centralized or integrated within modeling teams to improve deployment practices. Tuell is looking to establish a strong engineering presence in India to complement their traditionally science-focused team. The goal is to improve deployment capabilities by incorporating engineers into their workflow, specifically to enhance automation, implement best practices, and refine their organizational structure. As they transition to an engineering-driven practice in India, they need to ensure their teams possess the right technical expertise for efficient execution. Key considerations include whether the modeling team requires engineers to liaise with deployment teams, and the necessary capabilities for fostering collaboration across blended teams focused on engineering and modeling.",No description provided.,N/A,1,1,1
00005791,Closed,4,"Mark is leading efforts to establish a formal AI governance function at <CLIENT> Health and is seeking strategic support to shape its structure, ownership, and operational capabilities. While <CLIENT> currently has a Responsible AI policy and working group (which Mark co-chairs), he sees a gap in how AI governance is operationalized, specifically, the need for a distinct, action-oriented governance arm that goes beyond policy to oversee execution, approval processes, and cross-functional alignment. Mark is looking for expert guidance to help define best practices, industry-aligned frameworks, and long-term structure for AI governance. His goals include clarifying roles and responsibilities, reducing friction among internal stakeholders (privacy, legal), and creating a robust model that can scale with <CLIENT>?s growing AI capabilities, particularly around agentic AI. He also wants help in building the internal business case for this function, with support from external thought leaders who understand both healthcare and advanced AI governance practices.",No description provided.,N/A,1,1,1
